ID,# vel,ra_el032.dat,dec_el032.dat,flux1_el032.dat,ra_em064c.dat,dec_em064c.dat,flux1_em064c.dat,ra_em064d.dat,dec_em064d.dat,flux1_em064d.dat,ra_es066.dat,dec_es066.dat,flux1_es066.dat,ra_ea063.dat,dec_ea063.dat,flux1_ea063.dat,ra_diff_2_1,ra_diff_3_1,ra_diff_4_1,ra_diff_5_1,dec_diff_2_1,dec_diff_3_1,dec_diff_4_1,dec_diff_5_1,Lenght_2_1,Lenght_3_1,Lenght_4_1,Lenght_5_1
21,-8.1933,124.813,112.584,0.284,122.33,110.043,0.288,122.562,108.608,0.697,122.296,108.822,0.54,121.611,105.799,0.377,-2.48299999999999,-2.251,-2.517,-3.202,-2.54099999999998,-3.976,-3.76199999999999,-6.785,,,,
22,-8.2811,123.874,112.592,0.464,122.741,110.084,0.575,122.814,108.472,1.511,122.781,109.165,0.567,121.979,105.988,0.447,-1.13299999999998,-1.05999999999999,-1.09299999999999,-1.895,-2.508,-4.12,-3.42699999999999,-6.604,,,,
23,-8.3689,123.927,112.664,0.465,122.811,110.468,0.803,123.029,108.612,2.095,122.955,109.912,0.381,122.289,106.377,0.309,-1.116,-0.897999999999996,-0.972000000000008,-1.63800000000001,-2.196,-4.05200000000002,-2.75200000000001,-6.28700000000003,,,,
,-24.8433,372.614,337.84,,367.882,330.595,,368.405,325.692,,368.032,327.899,,365.879,318.164,,-4.73199999999997,-4.20899999999999,-4.58199999999999,-6.735,-7.24499999999998,-12.148,-9.94099999999999,-19.676,8.65342989802306,12.8564997180415,10.9461502364987,20.7967593869815
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,k,X,Y,,,,,,,,,,,,,-27.0063970000001,-36.805143,-40.1004890000001,-64.525529,-39.712,-63.071,-62.7180000000001,-132.903,,,,
,,2,0.242828,0.001,,,,,,,,,,,,,xx2_1,xx3_1,xx4_1,xx5_1,yy2_1,yy3_1,yy4_1,yy5_1,,,,
,,8,-153.795,108.04025,,,,,,,,,,,,,,,,,,,,,,,,
,,3,-90.3817333333334,94.815,,,,,,,,,,,,,,,,,,,,,,,,
,,5,80.29416,113.646,,,,,,,,,,,,,,,,,,,,,,,,
,,3,39.3837333333333,144.948333333333,,,,,,,,,,,,,,,,,,,,,,,,
,,3,124.204666666667,112.613333333333,,,,,,,,,,,,,,,,,,,,,,,,
